"CUENTA","GANACIA","TOTALCAMPANAS","PARTICIPACION"
"18,854","70,117.34",23,0.1
"18,855","6,320.88",2,1
"18,875","16,760.42",3,0.67
"18,878","221,941.14",196,0.18
"18,896","132,773.48",15,1
"18,910","463,846.85",204,0.18
"18,918","-1,562.91",2,1
"18,927","138,304.38",19,0.14
"18,929","6,121.53",2,1
"18,933","17,170.84",103,0.04
"18,944","57,170.28",30,0.26
"19,004","21,067.63",8,0.06
"19,010","143,939.4",12,0.13
"19,011","298,654.76",202,0.12
"19,016","2,278.4",3,0.67
"19,031","9,087.58",50,0.1
"19,063","88,622.23",38,0.18
"19,086","37,226.23",172,0.02
"19,106","26,592.62",14,0.11
"19,117","412,803.69",20,0.19
"19,125","69,710.71",128,0.14
"19,172","3,368,246.08",204,0.18
"19,181","110,539.53",14,1
"19,186","31,299.86",5,1
"19,194","1,255.08",1,1
"19,211","20,567.02",2,1
"19,222","17,379.57",7,1
"19,264","49,230.04",85,0.13
"19,267","733,245.48",121,0.2
"19,281","267,015.64",205,0.18
"19,286","93,863.34",163,0.07
"19,290",-54.87,1,1
"19,291","22,457.89",71,0.11
"19,297","6,860.92",2,0.5
"19,325","123,323.34",114,0.14
"19,326","14,705.35",201,0
"19,327","81,529.39",90,0.19
"19,335","-23,608.53",144,0.01
"19,348","50,843.89",68,0.07
"19,361","-9,068.68",4,1
"19,378","157,922.4",11,0.91
"19,397","92,135.87",19,0.19
"19,425","1,432.82",1,1
"19,427","417,525.62",161,0.2
"19,437","1,039,930.42",90,0.21
"19,445","715,097.92",173,0.18
"19,446","107,033.94",126,0.09
"19,459","29,235.72",86,0.04
"19,472","11,414.9",4,0.5
"19,485","1,280,631.89",204,0.18
"19,490","116,122.57",25,0.21
"19,495","783,137.56",204,0.18
"19,502","636,634.66",55,0.25
"19,518","31,818.7",8,0.88
"19,540","226,162",20,0.2
"19,541","11,249.22",4,0.75
"19,548","344,931.77",196,0.15
"19,555","257,334.72",70,0.18
"19,562","861,757.58",42,0.2
"19,569","444,690.64",202,0.18
"19,574","37,248.17",134,0.09
"19,576","2,368.71",2,0.5
"19,598","399,864.07",40,0.2
"19,612","328,715.09",205,0.18
"19,625","2,715.42",59,0.03
"19,635","100,519.92",9,0.1
"19,660","8,894.25",3,1
"19,668","824,262.73",135,0.19
"19,672","434,385.79",89,0.21
"19,679","379,279.67",204,0.17
"19,681","41,363.91",65,0.06
"19,687","356,968.43",92,0.18
"19,694","49,174.78",8,0.63
"19,700","126,935.21",81,0.08
"19,715","257,024.65",203,0.18
"19,727","282,748.34",175,0.17
"19,772","288,914.54",204,0.18
"19,779","4,673.46",2,0.5
"19,784","195,610.06",21,0.2
"19,795","725,811.61",164,0.18
"19,800","48,197.6",30,0.11
"19,801","106,617.13",109,0.15
"19,817","29,546.12",4,0.5
"19,843","99,371.28",10,1
"19,844","3,470.86",1,1
"19,849","600,069.73",84,0.2
"19,858","4,395.32",2,0.5
"19,868","81,641.53",103,0.14
"19,875","35,739.24",65,0.21
"19,880","601,935.79",51,0.23
"19,897","50,707.56",7,0.86
"19,898","492,944.61",204,0.18
"19,915","238,823.55",141,0.2
"19,916","940,449.76",34,0.28
"19,924","106,983.8",142,0.09
"19,953","8,814.97",181,0.01
"19,974",601.4,1,1
"19,975","812,394.51",157,0.18
"19,977","65,367.73",182,0.18
"19,990","-23,395.04",8,1
"19,991","93,415.16",126,0.18
